Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Engine_volume,Turbo,Run,bins_airbags,bins_mileage
941,1850,LEXUS,other,2008,Jeep,Yes,Hybrid,364523 km,6.0,Automatic,4x4,4,Left wheel,Black,12,(3-4],No,364523.0,(8-12],(300.000-400.000]
18826,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,112645 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,112645.0,[0-4],(100.000-200.000]
20698,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,187000 km,4.0,Automatic,Front,4,Left wheel,White,12,(1-2],No,187000.0,(8-12],(100.000-200.000]
17562,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,39709 km,4.0,Automatic,Front,4,Left wheel,Black,12,(2-3],No,39709.0,(8-12],[0-100.000]
7840,0,FORD,other,<2006,Microbus,No,Diesel,230000 km,4.0,Manual,Front,2,Left wheel,White,0,(1-2],Yes,230000.0,[0-4],(200.000-300.000]
4704,0,other,other,<2006,Sedan,No,Petrol,0 km,4.0,Automatic,Front,4,Left wheel,Green,4,(1-2],No,130000.0,[0-4],(100.000-200.000]
20385,0,MERCEDES-BENZ,other,2006,Sedan,Yes,Diesel,210000 km,4.0,Tiptronic,Rear,4,Left wheel,Black,8,(2-3],Yes,210000.0,(4-8],(200.000-300.000]
549,2455,LEXUS,other,2008,Jeep,Yes,Petrol,0 km,8.0,Automatic,4x4,4,Left wheel,White,0,(4-5],No,130000.0,[0-4],(100.000-200.000]
30,0,TOYOTA,Prius,2008,Sedan,No,Hybrid,169000 km,4.0,Automatic,Front,4,Left wheel,White,8,(1-2],No,169000.0,(4-8],(100.000-200.000]
14454,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,158787 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,158787.0,[0-4],(100.000-200.000]
12074,1537,TOYOTA,other,2009,Jeep,Yes,Hybrid,420550 km,6.0,Automatic,4x4,4,Left wheel,Blue,12,(3-4],No,420550.0,(8-12],(400.000-500.000]
15681,1288,MERCEDES-BENZ,other,2007,other,No,Diesel,180000 km,6.0,Manual,Rear,4,Left wheel,White,4,(1-2],Yes,180000.0,[0-4],(100.000-200.000]
19444,915,other,other,2014,Jeep,Yes,Diesel,175056 km,6.0,Automatic,4x4,4,Left wheel,White,12,(2-3],No,175056.0,(8-12],(100.000-200.000]
6899,0,BMW,X5,<2006,Jeep,Yes,CNG,200000 km,8.0,Automatic,4x4,4,Left wheel,Silver,6,(4-5],No,200000.0,(4-8],(100.000-200.000]
125,1750,TOYOTA,other,2008,Sedan,Yes,Hybrid,287274 km,6.0,Automatic,4x4,4,Left wheel,White,12,(3-4],No,287274.0,(8-12],(200.000-300.000]
24462,0,other,other,2007,Jeep,Yes,Diesel,250000 km,6.0,Tiptronic,4x4,4,Left wheel,Black,10,(2-3],Yes,250000.0,(8-12],(200.000-300.000]
23235,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,162000 km,4.0,Automatic,Front,4,Left wheel,Grey,4,(1-2],No,162000.0,[0-4],(100.000-200.000]
51746,1077,TOYOTA,other,2019,Jeep,No,Petrol,10200 km,4.0,Tiptronic,Front,4,Left wheel,Red,12,(1-2],No,10200.0,(8-12],[0-100.000]
7527,1486,HONDA,FIT,2010,Hatchback,No,Hybrid,158000 km,4.0,Automatic,Front,4,Right-hand drive,Black,4,(1-2],No,158000.0,[0-4],(100.000-200.000]
19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,103490 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,103490.0,[0-4],(100.000-200.000]
314,1399,LEXUS,other,2010,Jeep,Yes,Hybrid,382746 km,6.0,Automatic,4x4,4,Left wheel,Silver,12,(3-4],No,382746.0,(8-12],(300.000-400.000]
24462,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,203200 km,4.0,Automatic,Front,4,Left wheel,Blue,4,(2-3],No,203200.0,[0-4],(200.000-300.000]
45734,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,61057 km,4.0,Automatic,Front,4,Left wheel,Black,4,(2-3],No,61057.0,[0-4],[0-100.000]
20165,650,VOLKSWAGEN,other,2016,Sedan,Yes,Petrol,11200 km,4.0,Tiptronic,Front,4,Left wheel,Black,8,(1-2],Yes,11200.0,(4-8],[0-100.000]
21326,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,141000 km,4.0,Tiptronic,Front,4,Left wheel,White,12,(2-3],No,141000.0,(8-12],(100.000-200.000]
549,1436,other,other,2010,Jeep,Yes,Petrol,160259 km,6.0,Automatic,4x4,4,Left wheel,Silver,12,(3-4],No,160259.0,(8-12],(100.000-200.000]
220,1194,TOYOTA,other,2013,Jeep,Yes,Petrol,239342 km,6.0,Automatic,4x4,4,Left wheel,Silver,12,(3-4],No,239342.0,(8-12],(200.000-300.000]
15681,503,TOYOTA,other,2012,Hatchback,No,Hybrid,128000 km,4.0,Variator,Front,4,Left wheel,other,8,(1-2],No,128000.0,(4-8],(100.000-200.000]
55390,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,100734 km,4.0,Automatic,Front,4,Left wheel,Black,4,(1-2],No,100734.0,[0-4],(100.000-200.000]
12544,0,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,141500 km,4.0,Automatic,Front,4,Right-hand drive,Black,8,(1-2],No,141500.0,(4-8],(100.000-200.000]
17249,0,FORD,other,2008,Jeep,No,Hybrid,147000 km,4.0,Variator,4x4,4,Left wheel,White,8,(2-3],No,147000.0,(4-8],(100.000-200.000]
34889,891,HONDA,other,2016,Sedan,Yes,Petrol,87768 km,4.0,Automatic,Front,4,Left wheel,Blue,4,(1-2],No,87768.0,[0-4],[0-100.000]
862,1104,other,other,2015,Jeep,Yes,Petrol,264014 km,6.0,Automatic,4x4,4,Left wheel,Black,0,(2-3],No,264014.0,[0-4],(200.000-300.000]
14583,0,other,other,2008,Sedan,No,Diesel,132542 km,4.0,Manual,Front,4,Left wheel,White,10,(1-2],Yes,132542.0,(8-12],(100.000-200.000]
392,1017,MERCEDES-BENZ,other,2017,Sedan,Yes,Petrol,1600 km,4.0,Automatic,Rear,4,Left wheel,Black,12,(1-2],No,1600.0,(8-12],[0-100.000]
38500,639,other,other,2014,Jeep,Yes,Petrol,87000 km,1.0,Tiptronic,4x4,4,Left wheel,White,12,(1-2],No,87000.0,(8-12],[0-100.000]
8781,0,MERCEDES-BENZ,other,<2006,Coupe,No,Petrol,260000 km,4.0,Manual,Rear,2,Left wheel,Blue,0,(1-2],No,260000.0,[0-4],(200.000-300.000]
87112,0,MERCEDES-BENZ,other,2019,Jeep,Yes,Petrol,5323 km,4.0,Tiptronic,4x4,4,Left wheel,Grey,0,(1-2],Yes,5323.0,[0-4],[0-100.000]
1411,629,NISSAN,other,2015,Jeep,Yes,Petrol,87112 km,4.0,Automatic,4x4,4,Left wheel,Black,0,(1-2],No,87112.0,[0-4],[0-100.000]
392,919,BMW,other,2012,Sedan,Yes,Petrol,204318 km,6.0,Automatic,Rear,4,Left wheel,Black,12,(2-3],No,204318.0,(8-12],(200.000-300.000]
23521,781,CHEVROLET,other,2018,Sedan,No,Petrol,22000 km,4.0,Automatic,Front,4,Left wheel,Red,6,(1-2],Yes,22000.0,(4-8],[0-100.000]
16935,530,FORD,other,2013,Sedan,No,Petrol,83000 km,4.0,Tiptronic,Front,4,Left wheel,Silver,8,(1-2],Yes,83000.0,(4-8],[0-100.000]
10349,0,TOYOTA,other,2007,Minivan,Yes,Petrol,170000 km,4.0,Automatic,Front,4,Right-hand drive,Black,6,(2-3],No,170000.0,(4-8],(100.000-200.000]
7213,530,NISSAN,other,2013,Jeep,Yes,Petrol,312118 km,4.0,Automatic,Front,4,Left wheel,Black,0,(1-2],No,312118.0,[0-4],(300.000-400.000]
5331,0,MERCEDES-BENZ,other,<2006,Sedan,No,Petrol,130000 km,4.0,Tiptronic,Front,4,Left wheel,Black,6,(1-2],No,130000.0,(4-8],(100.000-200.000]
20526,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,200279 km,4.0,Automatic,Front,4,Left wheel,Grey,4,(1-2],No,200279.0,[0-4],(200.000-300.000]
9722,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,719847 km,4.0,Automatic,Front,4,Left wheel,other,4,(1-2],No,600000.0,[0-4],(500.000-600.000]
34657,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,154672 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(2-3],No,154672.0,[0-4],(100.000-200.000]
36564,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,110969 km,4.0,Automatic,Front,4,Left wheel,Black,4,(2-3],No,110969.0,[0-4],(100.000-200.000]
314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,225510 km,4.0,Automatic,Front,4,Left wheel,White,12,(2-3],No,225510.0,(8-12],(200.000-300.000]
5488,0,TOYOTA,other,<2006,Hatchback,No,Petrol,210000 km,4.0,Manual,Front,4,Right-hand drive,other,3,(1-2],No,210000.0,[0-4],(200.000-300.000]
30063,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,148105 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(2-3],No,148105.0,[0-4],(100.000-200.000]
15800,769,CHEVROLET,other,2011,Jeep,Yes,Diesel,255456 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(2-3],No,255456.0,[0-4],(200.000-300.000]
43952,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,111643 km,4.0,Automatic,Front,4,Left wheel,Grey,4,(2-3],No,111643.0,[0-4],(100.000-200.000]
53154,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,84506 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,84506.0,[0-4],[0-100.000]
14740,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,288000 km,4.0,Automatic,Front,4,Left wheel,White,8,(1-2],No,288000.0,(4-8],(200.000-300.000]
42337,0,FORD,other,2016,other,Yes,Petrol,75000 km,4.0,Tiptronic,Rear,2,Left wheel,Silver,6,(2-3],Yes,75000.0,(4-8],[0-100.000]
3763,1053,MERCEDES-BENZ,other,2014,Jeep,Yes,Petrol,94362 km,6.0,Automatic,Rear,4,Left wheel,White,12,(3-4],No,94362.0,(8-12],[0-100.000]
18189,0,TOYOTA,Prius,2012,Sedan,No,Petrol,175000 km,4.0,Automatic,Front,4,Left wheel,Silver,8,(1-2],No,175000.0,(4-8],(100.000-200.000]
862,2455,LEXUS,other,2008,Jeep,Yes,Petrol,263190 km,8.0,Automatic,4x4,4,Left wheel,White,0,(4-5],No,263190.0,[0-4],(200.000-300.000]
220,1185,FORD,other,2009,Jeep,Yes,Hybrid,193614 km,4.0,Automatic,Front,4,Left wheel,White,0,(2-3],No,193614.0,[0-4],(100.000-200.000]
5645,1324,TOYOTA,other,2010,Jeep,Yes,Hybrid,264877 km,6.0,Automatic,4x4,4,Left wheel,White,12,(3-4],No,264877.0,(8-12],(200.000-300.000]
7527,830,TOYOTA,other,2019,Sedan,Yes,Petrol,27656 km,4.0,Automatic,Front,4,Left wheel,White,12,(1-2],No,27656.0,(8-12],[0-100.000]
21953,1187,HONDA,other,2014,Sedan,No,Hybrid,16000 km,8.0,Automatic,4x4,4,Right-hand drive,White,10,(1-2],No,16000.0,(8-12],[0-100.000]
8154,0,HONDA,other,<2006,Jeep,No,Petrol,0 km,4.0,Automatic,4x4,4,Right-hand drive,White,2,(1-2],No,130000.0,[0-4],(100.000-200.000]
21953,781,TOYOTA,Camry,2012,Sedan,No,Petrol,195053 km,4.0,Automatic,Front,4,Left wheel,Black,0,(2-3],No,195053.0,[0-4],(100.000-200.000]
19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,121362 km,4.0,Automatic,Front,4,Left wheel,Black,4,(1-2],No,121362.0,[0-4],(100.000-200.000]
36065,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,69191 km,4.0,Automatic,Front,4,Left wheel,White,4,(1-2],No,69191.0,[0-4],[0-100.000]
8781,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,83000 km,4.0,Tiptronic,Front,4,Right-hand drive,Green,12,(1-2],No,83000.0,(8-12],[0-100.000]
6247,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,40772 km,4.0,Automatic,Front,4,Left wheel,Black,4,(1-2],No,40772.0,[0-4],[0-100.000]
16289,642,CHEVROLET,other,2012,Jeep,Yes,Diesel,172000 km,4.0,Automatic,Front,4,Left wheel,Grey,4,(1-2],No,172000.0,[0-4],(100.000-200.000]
77775,1604,MERCEDES-BENZ,other,2014,Jeep,Yes,Petrol,433811 km,8.0,Automatic,4x4,4,Left wheel,Black,10,,No,433811.0,(8-12],(400.000-500.000]
2822,0,BMW,other,<2006,Sedan,Yes,Petrol,350000 km,6.0,Manual,Rear,4,Left wheel,Blue,2,(1-2],No,350000.0,[0-4],(300.000-400.000]
549,781,other,other,2012,Jeep,Yes,Petrol,148213 km,4.0,Automatic,4x4,4,Left wheel,Blue,0,(2-3],No,148213.0,[0-4],(100.000-200.000]
6981,1095,other,other,2008,Sedan,Yes,Petrol,103246 km,4.0,Automatic,Front,4,Left wheel,Black,4,(1-2],No,103246.0,[0-4],(100.000-200.000]
27284,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,105394 km,4.0,Tiptronic,Front,4,Left wheel,Black,12,(1-2],No,105394.0,(8-12],(100.000-200.000]
32929,0,BMW,other,2013,Coupe,Yes,Petrol,160000 km,4.0,Automatic,Rear,2,Left wheel,Black,12,(1-2],Yes,160000.0,(8-12],(100.000-200.000]
18817,0,NISSAN,other,<2006,Jeep,No,Diesel,333333 km,4.0,Manual,Rear,4,Left wheel,Black,0,(2-3],Yes,333333.0,[0-4],(300.000-400.000]
4234,0,HONDA,other,<2006,Hatchback,Yes,Petrol,0 km,4.0,Manual,Front,2,Left wheel,Blue,6,(1-2],No,130000.0,(4-8],(100.000-200.000]
15053,0,MERCEDES-BENZ,other,<2006,Sedan,Yes,Petrol,214000 km,6.0,Tiptronic,Rear,4,Left wheel,Grey,8,(3-4],No,214000.0,(4-8],(200.000-300.000]
15458,966,HYUNDAI,other,2009,Coupe,Yes,Petrol,123346 km,4.0,Automatic,Front,4,Left wheel,Black,4,(1-2],No,123346.0,[0-4],(100.000-200.000]
2901,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,80827 km,4.0,Automatic,Front,4,Left wheel,Green,12,(1-2],No,80827.0,(8-12],[0-100.000]
706,1138,other,other,2013,Coupe,Yes,Petrol,64464 km,6.0,Automatic,Rear,2,Left wheel,Black,12,(3-4],No,64464.0,(8-12],[0-100.000]
314,382,FORD,other,2015,Sedan,Yes,Hybrid,91760 km,4.0,Automatic,Front,4,Left wheel,Black,12,(1-2],No,91760.0,(8-12],[0-100.000]
15681,1811,LEXUS,other,2010,Jeep,Yes,Petrol,275240 km,8.0,Automatic,4x4,4,Left wheel,Silver,0,(4-5],No,275240.0,[0-4],(200.000-300.000]
26657,0,MERCEDES-BENZ,other,<2006,Microbus,No,Diesel,300000 km,4.0,Manual,Rear,4,Left wheel,White,1,(2-3],Yes,300000.0,[0-4],(200.000-300.000]
10663,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,318400 km,4.0,Automatic,Front,4,Left wheel,Silver,6,(1-2],No,318400.0,(4-8],(300.000-400.000]
12858,765,FORD,other,2015,Sedan,No,Petrol,91200 km,4.0,Automatic,Front,4,Left wheel,other,10,(1-2],No,91200.0,(8-12],[0-100.000]
1019,917,BMW,X5,2013,Jeep,Yes,Diesel,137802 km,6.0,Automatic,4x4,4,Left wheel,Black,12,(2-3],No,137802.0,(8-12],(100.000-200.000]
549,917,BMW,other,2013,Sedan,Yes,Hybrid,151586 km,6.0,Automatic,Rear,4,Left wheel,White,12,(2-3],No,151586.0,(8-12],(100.000-200.000]
12858,0,KIA,other,2016,Hatchback,No,Petrol,107000 km,4.0,Manual,Front,4,Left wheel,Silver,2,(1-2],No,107000.0,[0-4],(100.000-200.000]
15000,0,BMW,other,2008,Sedan,Yes,CNG,210408 km,6.0,Tiptronic,Rear,4,Left wheel,White,12,(2-3],No,210408.0,(8-12],(200.000-300.000]
85553,1156,FORD,other,2017,Jeep,Yes,Petrol,100567 km,4.0,Automatic,Front,4,Left wheel,Black,4,(2-3],No,100567.0,[0-4],(100.000-200.000]
44752,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,86000 km,4.0,Automatic,Front,4,Left wheel,Grey,4,(2-3],No,86000.0,[0-4],[0-100.000]
17158,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,122740 km,4.0,Automatic,Front,4,Left wheel,White,4,(1-2],No,122740.0,[0-4],(100.000-200.000]
12231,0,other,other,<2006,Jeep,No,LPG,144000 km,4.0,Tiptronic,4x4,4,Right-hand drive,White,16,(2-3],No,144000.0,(12-16],(100.000-200.000]
11917,2500,MERCEDES-BENZ,other,<2006,Sedan,Yes,Petrol,150000 km,8.0,Tiptronic,Rear,4,Right-hand drive,White,12,(4-5],No,150000.0,(8-12],(100.000-200.000]
1254,0,other,other,<2006,Sedan,No,Petrol,100000 km,4.0,Manual,Rear,4,Left wheel,Red,0,(1-2],No,100000.0,[0-4],[0-100.000]
94,0,HONDA,FIT,<2006,Hatchback,No,Petrol,178000 km,4.0,Variator,Front,4,Right-hand drive,Silver,4,(1-2],No,178000.0,[0-4],(100.000-200.000]
25591,640,SSANGYONG,other,2013,Jeep,Yes,Diesel,85704 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,85704.0,[0-4],[0-100.000]
14897,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,58962 km,4.0,Automatic,Front,4,Left wheel,White,4,(1-2],No,58962.0,[0-4],[0-100.000]
23521,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,90000 km,4.0,Tiptronic,Front,4,Left wheel,White,12,(2-3],No,90000.0,(8-12],[0-100.000]
3450,0,other,other,<2006,Hatchback,No,Petrol,50000 km,3.0,Manual,Front,2,Left wheel,Green,0,(1-2],No,50000.0,[0-4],[0-100.000]
706,777,other,other,2014,Sedan,Yes,Petrol,0 km,4.0,Automatic,Front,4,Left wheel,Red,12,(2-3],No,130000.0,(8-12],(100.000-200.000]
1019,1537,TOYOTA,other,2009,Sedan,Yes,Hybrid,318358 km,6.0,Automatic,4x4,4,Left wheel,Black,12,(3-4],No,318358.0,(8-12],(300.000-400.000]
16935,765,FORD,other,2015,Sedan,Yes,Petrol,71454 km,4.0,Automatic,Front,4,Left wheel,Black,0,(1-2],No,71454.0,[0-4],[0-100.000]
19444,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,0 km,4.0,Tiptronic,Front,4,Left wheel,Black,6,(2-3],No,130000.0,(4-8],(100.000-200.000]
11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,346470 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,346470.0,[0-4],(300.000-400.000]
51965,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,59515 km,4.0,Automatic,Front,4,Left wheel,Blue,4,(1-2],No,59515.0,[0-4],[0-100.000]
706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,115312 km,4.0,Automatic,Front,4,Left wheel,Grey,12,(2-3],No,115312.0,(8-12],(100.000-200.000]
9408,0,MERCEDES-BENZ,other,<2006,Sedan,No,Diesel,111111 km,4.0,Manual,Rear,4,Left wheel,Silver,4,(2-3],Yes,111111.0,[0-4],(100.000-200.000]
13328,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,74444 km,4.0,Automatic,Front,4,Left wheel,other,4,(2-3],No,74444.0,[0-4],[0-100.000]
17876,0,NISSAN,other,2012,Minivan,No,Petrol,143000 km,4.0,Tiptronic,Front,4,Right-hand drive,White,12,(1-2],No,143000.0,(8-12],(100.000-200.000]
549,2500,NISSAN,other,<2006,Sedan,Yes,Petrol,299709 km,6.0,Automatic,Front,4,Left wheel,Grey,12,(3-4],No,299709.0,(8-12],(200.000-300.000]
20071,0,TOYOTA,other,2008,Jeep,No,Petrol,135000 km,4.0,Automatic,4x4,4,Left wheel,Silver,8,(2-3],No,135000.0,(4-8],(100.000-200.000]
22894,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,124444 km,4.0,Automatic,Front,4,Left wheel,other,4,(2-3],No,124444.0,[0-4],(100.000-200.000]
2901,503,HONDA,other,2012,Sedan,Yes,Hybrid,146403 km,4.0,Automatic,Front,4,Left wheel,White,0,(1-2],No,146403.0,[0-4],(100.000-200.000]
15681,0,other,other,<2006,Jeep,No,Petrol,142000 km,4.0,Automatic,4x4,2,Left wheel,Blue,6,(2-3],No,142000.0,(4-8],(100.000-200.000]
39829,1811,LEXUS,other,2010,Jeep,Yes,Petrol,155821 km,8.0,Automatic,4x4,4,Left wheel,Black,0,(4-5],No,155821.0,[0-4],(100.000-200.000]
706,1646,LEXUS,other,2015,Jeep,Yes,Petrol,102907 km,8.0,Automatic,4x4,4,Left wheel,Black,0,(4-5],No,102907.0,[0-4],(100.000-200.000]
18660,0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,130000 km,4.0,Tiptronic,Front,4,Left wheel,Black,6,(2-3],No,130000.0,(4-8],(100.000-200.000]
22580,1017,MERCEDES-BENZ,other,2017,Sedan,Yes,Petrol,50930 km,4.0,Automatic,Rear,4,Left wheel,Black,12,(1-2],No,50930.0,(8-12],[0-100.000]
11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,264872 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,264872.0,[0-4],(200.000-300.000]
314,259,CHEVROLET,other,2014,Hatchback,Yes,Hybrid,131893 km,4.0,Automatic,Front,4,Left wheel,other,0,(1-2],No,131893.0,[0-4],(100.000-200.000]
5488,751,other,other,2013,Jeep,Yes,Petrol,138958 km,4.0,Automatic,Front,4,Left wheel,Black,12,(2-3],No,138958.0,(8-12],(100.000-200.000]
4300,0,MERCEDES-BENZ,other,<2006,Universal,No,Diesel,1111111 km,4.0,Manual,Rear,4,Left wheel,Black,1,(2-3],No,600000.0,[0-4],(500.000-600.000]
18817,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,35058 km,4.0,Automatic,Front,4,Left wheel,White,12,(2-3],No,35058.0,(8-12],[0-100.000]
21169,697,HONDA,other,2015,Jeep,No,Petrol,33330 km,4.0,Automatic,4x4,4,Left wheel,Grey,8,(1-2],No,33330.0,(4-8],[0-100.000]
9095,0,other,other,2011,Coupe,No,Petrol,141000 km,4.0,Automatic,Front,2,Right-hand drive,Red,4,(1-2],No,141000.0,[0-4],(100.000-200.000]
1568,639,VOLKSWAGEN,other,2014,Sedan,Yes,Diesel,82392 km,4.0,Automatic,Front,4,Left wheel,Silver,12,(1-2],No,82392.0,(8-12],[0-100.000]
3136,0,other,other,<2006,other,No,Petrol,180000 km,6.0,Tiptronic,4x4,4,Right-hand drive,Blue,6,(1-2],Yes,180000.0,(4-8],(100.000-200.000]
17876,585,HYUNDAI,other,2013,Sedan,Yes,Petrol,117920 km,4.0,Tiptronic,Front,4,Left wheel,Grey,12,(1-2],No,117920.0,(8-12],(100.000-200.000]
11290,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,279787 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(1-2],No,279787.0,[0-4],(200.000-300.000]
36065,1399,TOYOTA,other,2010,Minivan,Yes,Petrol,227200 km,6.0,Tiptronic,Front,4,Left wheel,White,16,(3-4],No,227200.0,(12-16],(200.000-300.000]
862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,130478 km,4.0,Automatic,Front,4,Left wheel,White,12,(2-3],No,130478.0,(8-12],(100.000-200.000]
21395,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,166144 km,4.0,Automatic,Front,4,Left wheel,Silver,4,(2-3],No,166144.0,[0-4],(100.000-200.000]
