Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Engine volume,Turbo,Mileage
19444,915,other,other,2014,Jeep,Yes,Diesel,6.0,Automatic,4x4,4,Left wheel,White,12,2,0,175056.0
6899,0,BMW,X5,2005,Jeep,Yes,CNG,8.0,Automatic,4x4,4,Left wheel,Silver,6,4,0,200000.0
125,1750,TOYOTA,other,2008,Sedan,Yes,Hybrid,6.0,Automatic,4x4,4,Left wheel,White,12,3,0,287274.0
24462,0,other,other,2007,Jeep,Yes,Diesel,6.0,Tiptronic,4x4,4,Left wheel,Black,10,2,1,250000.0
23235,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Grey,4,1,0,162000.0
51746,1077,TOYOTA,other,2019,Jeep,No,Petrol,4.0,Tiptronic,Front,4,Left wheel,Red,12,1,0,10200.0
7527,1486,HONDA,FIT,2010,Hatchback,No,Hybrid,4.0,Automatic,Front,4,Right-hand drive,Black,4,1,0,158000.0
19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,103490.0
314,1399,LEXUS,other,2010,Jeep,Yes,Hybrid,6.0,Automatic,4x4,4,Left wheel,Silver,12,3,0,382746.0
24462,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Blue,4,2,0,203200.0
45734,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Black,4,2,0,61057.0
20165,650,VOLKSWAGEN,other,2016,Sedan,Yes,Petrol,4.0,Tiptronic,Front,4,Left wheel,Black,8,1,1,11200.0
21326,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,4.0,Tiptronic,Front,4,Left wheel,White,12,2,0,141000.0
549,1436,other,other,2010,Jeep,Yes,Petrol,6.0,Automatic,4x4,4,Left wheel,Silver,12,3,0,160259.0
220,1194,TOYOTA,other,2013,Jeep,Yes,Petrol,6.0,Automatic,4x4,4,Left wheel,Silver,12,3,0,239342.0
15681,503,TOYOTA,other,2012,Hatchback,No,Hybrid,4.0,Variator,Front,4,Left wheel,other,8,1,0,128000.0
55390,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Black,4,1,0,100734.0
12544,0,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,4.0,Automatic,Front,4,Right-hand drive,Black,8,1,0,141500.0
17249,0,FORD,other,2008,Jeep,No,Hybrid,4.0,Variator,4x4,4,Left wheel,White,8,2,0,147000.0
34889,891,HONDA,other,2016,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Blue,4,1,0,87768.0
862,1104,other,other,2015,Jeep,Yes,Petrol,6.0,Automatic,4x4,4,Left wheel,Black,0,2,0,264014.0
14583,0,other,other,2008,Sedan,No,Diesel,4.0,Manual,Front,4,Left wheel,White,10,1,1,132542.0
392,1017,MERCEDES-BENZ,other,2017,Sedan,Yes,Petrol,4.0,Automatic,Rear,4,Left wheel,Black,12,1,0,1600.0
38500,639,other,other,2014,Jeep,Yes,Petrol,1.0,Tiptronic,4x4,4,Left wheel,White,12,1,0,87000.0
8781,0,MERCEDES-BENZ,other,2005,Coupe,No,Petrol,4.0,Manual,Rear,2,Left wheel,Blue,0,1,0,260000.0
87112,0,MERCEDES-BENZ,other,2019,Jeep,Yes,Petrol,4.0,Tiptronic,4x4,4,Left wheel,Grey,0,1,1,5323.0
1411,629,NISSAN,other,2015,Jeep,Yes,Petrol,4.0,Automatic,4x4,4,Left wheel,Black,0,1,0,87112.0
392,919,BMW,other,2012,Sedan,Yes,Petrol,6.0,Automatic,Rear,4,Left wheel,Black,12,2,0,204318.0
23521,781,CHEVROLET,other,2018,Sedan,No,Petrol,4.0,Automatic,Front,4,Left wheel,Red,6,1,1,22000.0
16935,530,FORD,other,2013,Sedan,No,Petrol,4.0,Tiptronic,Front,4,Left wheel,Silver,8,1,1,83000.0
10349,0,TOYOTA,other,2007,Minivan,Yes,Petrol,4.0,Automatic,Front,4,Right-hand drive,Black,6,2,0,170000.0
7213,530,NISSAN,other,2013,Jeep,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,0,1,0,312118.0
5331,0,MERCEDES-BENZ,other,2005,Sedan,No,Petrol,4.0,Tiptronic,Front,4,Left wheel,Black,6,1,0,130000.0
20526,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Grey,4,1,0,200279.0
9722,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,4.0,Automatic,Front,4,Left wheel,other,4,1,0,600000.0
34657,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,4,2,0,154672.0
36564,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Black,4,2,0,110969.0
314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,White,12,2,0,225510.0
5488,0,TOYOTA,other,2005,Hatchback,No,Petrol,4.0,Manual,Front,4,Right-hand drive,other,3,1,0,210000.0
30063,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,4,2,0,148105.0
15800,769,CHEVROLET,other,2011,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,4,2,0,255456.0
43952,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Grey,4,2,0,111643.0
53154,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,84506.0
14740,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,4.0,Automatic,Front,4,Left wheel,White,8,1,0,288000.0
42337,0,FORD,other,2016,other,Yes,Petrol,4.0,Tiptronic,Rear,2,Left wheel,Silver,6,2,1,75000.0
3763,1053,MERCEDES-BENZ,other,2014,Jeep,Yes,Petrol,6.0,Automatic,Rear,4,Left wheel,White,12,3,0,94362.0
18189,0,TOYOTA,Prius,2012,Sedan,No,Petrol,4.0,Automatic,Front,4,Left wheel,Silver,8,1,0,175000.0
862,2455,LEXUS,other,2008,Jeep,Yes,Petrol,8.0,Automatic,4x4,4,Left wheel,White,0,4,0,263190.0
220,1185,FORD,other,2009,Jeep,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,White,0,2,0,193614.0
5645,1324,TOYOTA,other,2010,Jeep,Yes,Hybrid,6.0,Automatic,4x4,4,Left wheel,White,12,3,0,264877.0
7527,830,TOYOTA,other,2019,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,White,12,1,0,27656.0
21953,1187,HONDA,other,2014,Sedan,No,Hybrid,8.0,Automatic,4x4,4,Right-hand drive,White,10,1,0,16000.0
8154,0,HONDA,other,2005,Jeep,No,Petrol,4.0,Automatic,4x4,4,Right-hand drive,White,2,1,0,0.0
21953,781,TOYOTA,Camry,2012,Sedan,No,Petrol,4.0,Automatic,Front,4,Left wheel,Black,0,2,0,195053.0
19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,4,1,0,121362.0
36065,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,White,4,1,0,69191.0
8781,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,4.0,Tiptronic,Front,4,Right-hand drive,Green,12,1,0,83000.0
6247,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,4,1,0,40772.0
16289,642,CHEVROLET,other,2012,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Grey,4,1,0,172000.0
77775,1604,MERCEDES-BENZ,other,2014,Jeep,Yes,Petrol,8.0,Automatic,4x4,4,Left wheel,Black,10,5,0,433811.0
2822,0,BMW,other,2005,Sedan,Yes,Petrol,6.0,Manual,Rear,4,Left wheel,Blue,2,1,0,350000.0
549,781,other,other,2012,Jeep,Yes,Petrol,4.0,Automatic,4x4,4,Left wheel,Blue,0,2,0,148213.0
6981,1095,other,other,2008,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,4,1,0,103246.0
27284,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,4.0,Tiptronic,Front,4,Left wheel,Black,12,1,0,105394.0
32929,0,BMW,other,2013,Coupe,Yes,Petrol,4.0,Automatic,Rear,2,Left wheel,Black,12,1,1,160000.0
18817,0,NISSAN,other,2005,Jeep,No,Diesel,4.0,Manual,Rear,4,Left wheel,Black,0,2,1,333333.0
4234,0,HONDA,other,2005,Hatchback,Yes,Petrol,4.0,Manual,Front,2,Left wheel,Blue,6,1,0,0.0
15053,0,MERCEDES-BENZ,other,2005,Sedan,Yes,Petrol,6.0,Tiptronic,Rear,4,Left wheel,Grey,8,3,0,214000.0
15458,966,HYUNDAI,other,2009,Coupe,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,4,1,0,123346.0
2901,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Green,12,1,0,80827.0
706,1138,other,other,2013,Coupe,Yes,Petrol,6.0,Automatic,Rear,2,Left wheel,Black,12,3,0,64464.0
314,382,FORD,other,2015,Sedan,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,Black,12,1,0,91760.0
15681,1811,LEXUS,other,2010,Jeep,Yes,Petrol,8.0,Automatic,4x4,4,Left wheel,Silver,0,4,0,275240.0
26657,0,MERCEDES-BENZ,other,2005,Microbus,No,Diesel,4.0,Manual,Rear,4,Left wheel,White,1,2,1,300000.0
10663,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,4.0,Automatic,Front,4,Left wheel,Silver,6,1,0,318400.0
12858,765,FORD,other,2015,Sedan,No,Petrol,4.0,Automatic,Front,4,Left wheel,other,10,1,0,91200.0
1019,917,BMW,X5,2013,Jeep,Yes,Diesel,6.0,Automatic,4x4,4,Left wheel,Black,12,2,0,137802.0
549,917,BMW,other,2013,Sedan,Yes,Hybrid,6.0,Automatic,Rear,4,Left wheel,White,12,2,0,151586.0
12858,0,KIA,other,2016,Hatchback,No,Petrol,4.0,Manual,Front,4,Left wheel,Silver,2,1,0,107000.0
15000,0,BMW,other,2008,Sedan,Yes,CNG,6.0,Tiptronic,Rear,4,Left wheel,White,12,2,0,210408.0
85553,1156,FORD,other,2017,Jeep,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,4,2,0,100567.0
44752,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Grey,4,2,0,86000.0
17158,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,White,4,1,0,122740.0
12231,0,other,other,2005,Jeep,No,LPG,4.0,Tiptronic,4x4,4,Right-hand drive,White,16,2,0,144000.0
11917,2500,MERCEDES-BENZ,other,2005,Sedan,Yes,Petrol,8.0,Tiptronic,Rear,4,Right-hand drive,White,12,4,0,150000.0
1254,0,other,other,2005,Sedan,No,Petrol,4.0,Manual,Rear,4,Left wheel,Red,0,1,0,100000.0
94,0,HONDA,FIT,2005,Hatchback,No,Petrol,4.0,Variator,Front,4,Right-hand drive,Silver,4,1,0,178000.0
25591,640,SSANGYONG,other,2013,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,85704.0
14897,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,White,4,1,0,58962.0
23521,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,4.0,Tiptronic,Front,4,Left wheel,White,12,2,0,90000.0
3450,0,other,other,2005,Hatchback,No,Petrol,3.0,Manual,Front,2,Left wheel,Green,0,1,0,50000.0
706,777,other,other,2014,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Red,12,2,0,0.0
1019,1537,TOYOTA,other,2009,Sedan,Yes,Hybrid,6.0,Automatic,4x4,4,Left wheel,Black,12,3,0,318358.0
16935,765,FORD,other,2015,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,0,1,0,71454.0
19444,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,4.0,Tiptronic,Front,4,Left wheel,Black,6,2,0,0.0
11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,346470.0
51965,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Blue,4,1,0,59515.0
706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,Grey,12,2,0,115312.0
9408,0,MERCEDES-BENZ,other,2005,Sedan,No,Diesel,4.0,Manual,Rear,4,Left wheel,Silver,4,2,1,111111.0
13328,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,other,4,2,0,74444.0
17876,0,NISSAN,other,2012,Minivan,No,Petrol,4.0,Tiptronic,Front,4,Right-hand drive,White,12,1,0,143000.0
549,2500,NISSAN,other,2005,Sedan,Yes,Petrol,6.0,Automatic,Front,4,Left wheel,Grey,12,3,0,299709.0
20071,0,TOYOTA,other,2008,Jeep,No,Petrol,4.0,Automatic,4x4,4,Left wheel,Silver,8,2,0,135000.0
22894,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,other,4,2,0,124444.0
2901,503,HONDA,other,2012,Sedan,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,White,0,1,0,146403.0
15681,0,other,other,2005,Jeep,No,Petrol,4.0,Automatic,4x4,2,Left wheel,Blue,6,2,0,142000.0
39829,1811,LEXUS,other,2010,Jeep,Yes,Petrol,8.0,Automatic,4x4,4,Left wheel,Black,0,4,0,155821.0
706,1646,LEXUS,other,2015,Jeep,Yes,Petrol,8.0,Automatic,4x4,4,Left wheel,Black,0,4,0,102907.0
18660,0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,4.0,Tiptronic,Front,4,Left wheel,Black,6,2,0,130000.0
22580,1017,MERCEDES-BENZ,other,2017,Sedan,Yes,Petrol,4.0,Automatic,Rear,4,Left wheel,Black,12,1,0,50930.0
11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,264872.0
314,259,CHEVROLET,other,2014,Hatchback,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,other,0,1,0,131893.0
5488,751,other,other,2013,Jeep,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,12,2,0,138958.0
4300,0,MERCEDES-BENZ,other,2005,Universal,No,Diesel,4.0,Manual,Rear,4,Left wheel,Black,1,2,0,600000.0
18817,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,White,12,2,0,35058.0
21169,697,HONDA,other,2015,Jeep,No,Petrol,4.0,Automatic,4x4,4,Left wheel,Grey,8,1,0,33330.0
9095,0,other,other,2011,Coupe,No,Petrol,4.0,Automatic,Front,2,Right-hand drive,Red,4,1,0,141000.0
1568,639,VOLKSWAGEN,other,2014,Sedan,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,12,1,0,82392.0
3136,0,other,other,2005,other,No,Petrol,6.0,Tiptronic,4x4,4,Right-hand drive,Blue,6,1,1,180000.0
17876,585,HYUNDAI,other,2013,Sedan,Yes,Petrol,4.0,Tiptronic,Front,4,Left wheel,Grey,12,1,0,117920.0
11290,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,279787.0
36065,1399,TOYOTA,other,2010,Minivan,Yes,Petrol,6.0,Tiptronic,Front,4,Left wheel,White,16,3,0,227200.0
862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,White,12,2,0,130478.0
21395,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,4,2,0,166144.0
15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,258706.0
627,475,CHEVROLET,other,2012,Jeep,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,Red,0,1,0,188419.0
40070,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,4,1,0,25807.0
11917,0,MERCEDES-BENZ,other,2008,Hatchback,No,Petrol,4.0,Automatic,Front,4,Left wheel,other,8,1,0,180000.0
72130,1079,LEXUS,other,2018,Jeep,Yes,Petrol,4.0,Tiptronic,Front,4,Left wheel,Black,6,1,1,18918.0
35927,640,SSANGYONG,other,2013,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,137267.0
21012,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,4.0,Automatic,4x4,4,Left wheel,White,4,1,0,160000.0
21012,1823,TOYOTA,other,2018,Sedan,Yes,Petrol,6.0,Automatic,Front,4,Left wheel,Grey,12,3,0,27358.0
13172,1361,KIA,other,2009,Minivan,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,White,6,2,0,84176.0
15624,707,HYUNDAI,other,2011,Coupe,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Grey,4,1,0,107005.0
4547,0,other,other,2005,Sedan,No,Petrol,4.0,Manual,Front,4,Left wheel,other,2,1,0,15000.0
5488,1273,other,other,2015,Jeep,Yes,Petrol,6.0,Automatic,4x4,4,Left wheel,Black,12,3,0,124154.0
20005,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,White,4,1,0,104997.0
36110,924,VOLKSWAGEN,other,2017,Sedan,Yes,Petrol,6.0,Tiptronic,Front,4,Left wheel,Silver,8,1,0,27728.0
7840,0,MERCEDES-BENZ,other,2005,Sedan,Yes,Petrol,6.0,Manual,Rear,4,Left wheel,Blue,4,2,0,600000.0
470,1077,other,other,2019,Jeep,Yes,Petrol,4.0,Automatic,4x4,4,Left wheel,Black,12,1,0,11566.0
1300,0,other,other,2018,Coupe,Yes,Petrol,1.0,Tiptronic,Rear,5,Right-hand drive,Blue,0,0,0,4000.0
43880,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Silver,4,1,0,113700.0
29479,584,MERCEDES-BENZ,other,2014,Sedan,Yes,Petrol,4.0,Tiptronic,Rear,4,Left wheel,Grey,8,1,1,69000.0
17249,0,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,4.0,Variator,Front,4,Left wheel,White,12,2,0,152000.0
9408,0,TOYOTA,other,2005,Universal,No,Petrol,4.0,Automatic,4x4,4,Right-hand drive,Silver,2,1,0,181926.0
44213,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Red,4,1,0,50255.0
8467,2078,BMW,other,2005,Sedan,Yes,Petrol,6.0,Manual,Rear,4,Left wheel,Grey,6,2,0,252800.0
627,915,other,other,2014,Sedan,Yes,Petrol,6.0,Automatic,4x4,4,Left wheel,Silver,12,2,0,164488.0
21950,831,FORD,other,2011,other,No,Diesel,4.0,Manual,4x4,4,Left wheel,White,2,2,1,125000.0
706,475,other,other,2012,Hatchback,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Red,12,1,0,164574.0
3136,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,12,1,0,156992.0
3450,0,other,other,2005,Sedan,No,CNG,4.0,Manual,Front,4,Left wheel,White,2,1,0,0.0
9408,0,other,other,2005,Jeep,No,Petrol,6.0,Tiptronic,4x4,4,Right-hand drive,Silver,4,3,1,11000.0
31500,0,NISSAN,other,2010,Jeep,Yes,LPG,6.0,Tiptronic,4x4,4,Left wheel,Black,12,3,0,90200.0
20385,0,other,other,2005,Minivan,Yes,Petrol,6.0,Automatic,4x4,4,Right-hand drive,White,12,2,0,184000.0
314,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,6.0,Automatic,4x4,4,Left wheel,Silver,12,3,0,149486.0
2300,0,VOLKSWAGEN,other,2005,Sedan,No,CNG,4.0,Manual,Front,4,Left wheel,Green,0,1,0,0.0
7840,0,MERCEDES-BENZ,other,2005,Universal,No,LPG,4.0,Tiptronic,Front,4,Left wheel,Silver,4,1,0,170000.0
56450,0,TOYOTA,other,2018,Sedan,Yes,Petrol,4.0,Tiptronic,Front,4,Left wheel,Blue,12,2,0,25000.0
1490,639,VOLKSWAGEN,other,2014,Universal,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Grey,12,1,0,113214.0
627,836,TOYOTA,other,2012,Sedan,Yes,Petrol,4.0,Automatic,Rear,4,Left wheel,Black,12,2,0,394069.0
314,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,6.0,Automatic,4x4,4,Left wheel,Silver,12,3,0,149486.0
13172,0,HONDA,other,2005,Jeep,No,Petrol,4.0,Automatic,4x4,4,Left wheel,Silver,6,2,0,260000.0
19757,0,NISSAN,other,2005,Jeep,No,Diesel,4.0,Manual,Rear,4,Left wheel,Black,0,2,1,222222.0
4704,917,other,other,2013,Hatchback,Yes,Petrol,6.0,Automatic,4x4,4,Left wheel,Grey,0,2,0,301707.0
706,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,Black,12,2,0,175827.0
5802,1055,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Diesel,6.0,Automatic,Rear,4,Left wheel,Grey,12,3,0,107800.0
25716,777,TOYOTA,Camry,2014,Sedan,No,Petrol,4.0,Automatic,Front,4,Left wheel,Silver,8,2,0,115200.0
14426,642,CHEVROLET,other,2012,Jeep,Yes,LPG,4.0,Automatic,Front,4,Left wheel,White,4,1,0,132036.0
10820,0,TOYOTA,other,2005,Jeep,No,Petrol,4.0,Automatic,4x4,2,Right-hand drive,Silver,4,1,0,91000.0
45436,1172,FORD,other,2011,Jeep,Yes,Petrol,4.0,Automatic,Front,4,Left wheel,White,4,3,0,129177.0
11917,893,HYUNDAI,other,2008,Hatchback,No,Diesel,4.0,Manual,Front,4,Left wheel,Black,8,1,0,201000.0
41281,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,4.0,Automatic,Front,4,Left wheel,Black,4,1,0,185811.0
4391,0,NISSAN,other,2005,Sedan,No,Petrol,4.0,Manual,Front,4,Left wheel,other,2,2,0,358400.0
3058,1872,other,other,2018,Sedan,Yes,Petrol,6.0,Automatic,4x4,4,Left wheel,White,12,3,0,28968.0
3700,0,other,other,2005,Coupe,Yes,Petrol,4.0,Manual,Front,2,Left wheel,Black,4,1,0,240000.0
15681,0,other,other,2008,Jeep,No,Petrol,4.0,Automatic,4x4,2,Left wheel,Black,12,1,0,98000.0
6586,645,LEXUS,other,2011,Hatchback,Yes,Hybrid,4.0,Automatic,Front,4,Left wheel,Black,0,1,0,122302.0
