,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo
22,17562,1249.0,TOYOTA,Camry,2017,Sedan,True,Petrol,2.5,39709,4.0,Automatic,Front,4,Left wheel,Black,12,False
23,7840,,FORD,Transit,2001,Microbus,False,Diesel,2.0,230000,4.0,Manual,Front,2,Left wheel,White,0,True
24,4704,,OPEL,Vectra,1995,Sedan,False,Petrol,1.8,0,4.0,Automatic,Front,4,Left wheel,Green,4,False
25,20385,,MERCEDES-BENZ,E 220,2006,Sedan,True,Diesel,2.2,210000,4.0,Tiptronic,Rear,4,Left wheel,Black,8,True
26,549,2455.0,LEXUS,GX 470,2008,Jeep,True,Petrol,4.7,0,8.0,Automatic,4x4,4,Left wheel,White,0,False
27,30,,TOYOTA,Prius,2008,Sedan,False,Hybrid,1.5,169000,4.0,Automatic,Front,4,Left wheel,White,8,False
28,14454,583.0,HYUNDAI,Elantra,2011,Sedan,True,Petrol,1.6,158787,4.0,Automatic,Front,4,Left wheel,Silver,4,False
30,15681,1288.0,MERCEDES-BENZ,Vito,2007,Goods wagon,False,Diesel,2.0,180000,6.0,Manual,Rear,4,Left wheel,White,4,True
31,19444,915.0,PORSCHE,Cayenne,2014,Jeep,True,Diesel,3.0,175056,6.0,Automatic,4x4,4,Left wheel,White,12,False
32,6899,,BMW,X5,2000,Jeep,True,CNG,4.4,200000,8.0,Automatic,4x4,4,Left wheel,Silver,6,False
33,125,1750.0,TOYOTA,Highlander,2008,Sedan,True,Hybrid,3.3,287274,6.0,Automatic,4x4,4,Left wheel,White,12,False
34,24462,,JEEP,Grand Cherokee,2007,Jeep,True,Diesel,3.0,250000,6.0,Tiptronic,4x4,4,Left wheel,Black,10,True
35,23235,707.0,HYUNDAI,Santa FE,2011,Jeep,True,Diesel,2.0,162000,4.0,Automatic,Front,4,Left wheel,Grey,4,False
37,7527,1486.0,HONDA,FIT,2010,Hatchback,False,Hybrid,1.3,158000,4.0,Automatic,Front,4,Right-hand drive,Black,4,False
38,19121,531.0,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,103490,4.0,Automatic,Front,4,Left wheel,Silver,4,False
40,24462,751.0,TOYOTA,Camry,2013,Sedan,True,Petrol,2.4,203200,4.0,Automatic,Front,4,Left wheel,Blue,4,False
41,45734,1091.0,HYUNDAI,H1,2016,Universal,True,Diesel,2.5,61057,4.0,Automatic,Front,4,Left wheel,Black,4,False
42,20165,650.0,VOLKSWAGEN,Jetta,2016,Sedan,True,Petrol,1.4,11200,4.0,Tiptronic,Front,4,Left wheel,Black,8,True
43,21326,382.0,HYUNDAI,Sonata,2014,Sedan,True,Hybrid,2.4,141000,4.0,Tiptronic,Front,4,Left wheel,White,12,False
44,549,1436.0,PORSCHE,Cayenne,2010,Jeep,True,Petrol,3.6,160259,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
45,220,1194.0,TOYOTA,Tacoma,2013,Jeep,True,Petrol,4.0,239342,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
46,15681,503.0,TOYOTA,Prius C,2012,Hatchback,False,Hybrid,1.5,128000,4.0,Variator,Front,4,Left wheel,Sky blue,8,False
48,12544,,TOYOTA,Aqua,2012,Hatchback,False,Hybrid,1.5,141500,4.0,Automatic,Front,4,Right-hand drive,Black,8,False
49,17249,,FORD,Escape Hybrid,2008,Jeep,False,Hybrid,2.3,147000,4.0,Variator,4x4,4,Left wheel,White,8,False
50,34889,891.0,HONDA,Civic,2016,Sedan,True,Petrol,2.0,87768,4.0,Automatic,Front,4,Left wheel,Blue,4,False
51,862,1104.0,AUDI,Q7,2015,Jeep,True,Petrol,3.0,264014,6.0,Automatic,4x4,4,Left wheel,Black,0,False
52,14583,,RENAULT,Megane 1.5CDI,2008,Sedan,False,Diesel,1.5,132542,4.0,Manual,Front,4,Left wheel,White,10,True
53,392,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,True,Petrol,2.0,1600,4.0,Automatic,Rear,4,Left wheel,Black,12,False
54,38500,639.0,AUDI,Q5,2014,Jeep,True,Petrol,2.0,87000,1.0,Tiptronic,4x4,4,Left wheel,White,12,False
55,8781,,MERCEDES-BENZ,C 180,2001,Coupe,False,Petrol,2.0,260000,4.0,Manual,Rear,2,Left wheel,Blue,0,False
57,1411,629.0,NISSAN,Juke,2015,Jeep,True,Petrol,1.6,87112,4.0,Automatic,4x4,4,Left wheel,Black,0,False
58,392,919.0,BMW,535,2012,Sedan,True,Petrol,3.0,204318,6.0,Automatic,Rear,4,Left wheel,Black,12,False
59,23521,781.0,CHEVROLET,Cruze LT,2018,Sedan,False,Petrol,1.4,22000,4.0,Automatic,Front,4,Left wheel,Red,6,True
60,16935,530.0,FORD,Fusion,2013,Sedan,False,Petrol,1.6,83000,4.0,Tiptronic,Front,4,Left wheel,Silver,8,True
61,10349,,TOYOTA,VOXY,2007,Minivan,True,Petrol,2.4,170000,4.0,Automatic,Front,4,Right-hand drive,Black,6,False
62,7213,530.0,NISSAN,Juke,2013,Jeep,True,Petrol,1.6,312118,4.0,Automatic,Front,4,Left wheel,Black,0,False
63,5331,,MERCEDES-BENZ,A 160,2004,Sedan,False,Petrol,1.6,130000,4.0,Tiptronic,Front,4,Left wheel,Black,6,False
64,20526,640.0,HYUNDAI,Tucson,2013,Jeep,True,Diesel,2.0,200279,4.0,Automatic,Front,4,Left wheel,Grey,4,False
66,34657,777.0,HYUNDAI,H1,2014,Minivan,True,Diesel,2.5,154672,4.0,Automatic,Front,4,Left wheel,Silver,4,False
67,36564,1091.0,HYUNDAI,H1,2016,Minivan,True,Diesel,2.5,110969,4.0,Automatic,Front,4,Left wheel,Black,4,False
68,314,779.0,TOYOTA,Camry,2013,Sedan,True,Hybrid,2.5,225510,4.0,Automatic,Front,4,Left wheel,White,12,False
69,5488,,TOYOTA,Vitz,2001,Hatchback,False,Petrol,1.5,210000,4.0,Manual,Front,4,Right-hand drive,Sky blue,3,False
70,30063,934.0,HYUNDAI,H1,2015,Universal,True,Diesel,2.5,148105,4.0,Automatic,Front,4,Left wheel,Silver,4,False
71,15800,769.0,CHEVROLET,Captiva,2011,Jeep,True,Diesel,2.2,255456,4.0,Automatic,Front,4,Left wheel,Silver,4,False
72,43952,1249.0,HYUNDAI,H1,2017,Universal,True,Diesel,2.5,111643,4.0,Automatic,Front,4,Left wheel,Grey,4,False
74,14740,645.0,TOYOTA,Prius,2011,Hatchback,False,Hybrid,1.8,288000,4.0,Automatic,Front,4,Left wheel,White,8,False
75,42337,,FORD,Mustang,2016,Cabriolet,True,Petrol,2.3,75000,4.0,Tiptronic,Rear,2,Left wheel,Silver,6,True
76,3763,1053.0,MERCEDES-BENZ,ML 350,2014,Jeep,True,Petrol,3.5,94362,6.0,Automatic,Rear,4,Left wheel,White,12,False
77,18189,,TOYOTA,Prius,2012,Sedan,False,Petrol,1.8,175000,4.0,Automatic,Front,4,Left wheel,Silver,8,False
78,862,2455.0,LEXUS,GX 470,2008,Jeep,True,Petrol,4.7,263190,8.0,Automatic,4x4,4,Left wheel,White,0,False
79,220,1185.0,FORD,Escape,2009,Jeep,True,Hybrid,2.5,193614,4.0,Automatic,Front,4,Left wheel,White,0,False
80,5645,1324.0,TOYOTA,Highlander,2010,Jeep,True,Hybrid,3.3,264877,6.0,Automatic,4x4,4,Left wheel,White,12,False
81,7527,830.0,TOYOTA,Yaris,2019,Sedan,True,Petrol,1.5,27656,4.0,Automatic,Front,4,Left wheel,White,12,False
82,21953,1187.0,HONDA,Civic,2014,Sedan,False,Hybrid,1.4,16000,8.0,Automatic,4x4,4,Right-hand drive,White,10,False
83,8154,,HONDA,Cr-v,1998,Jeep,False,Petrol,2.0,0,4.0,Automatic,4x4,4,Right-hand drive,White,2,False
84,21953,781.0,TOYOTA,Camry,2012,Sedan,False,Petrol,2.5,195053,4.0,Automatic,Front,4,Left wheel,Black,0,False
85,19121,531.0,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,121362,4.0,Automatic,Front,4,Left wheel,Black,4,False
86,36065,639.0,HYUNDAI,Santa FE,2014,Jeep,True,Diesel,2.0,69191,4.0,Automatic,Front,4,Left wheel,White,4,False
87,8781,1111.0,HONDA,FIT,2012,Hatchback,True,Hybrid,1.3,83000,4.0,Tiptronic,Front,4,Right-hand drive,Green,12,False
88,6247,760.0,CHEVROLET,Cruze,2010,Sedan,True,Petrol,1.8,40772,4.0,Automatic,Front,4,Left wheel,Black,4,False
89,16289,642.0,CHEVROLET,Orlando,2012,Jeep,True,Diesel,2.0,172000,4.0,Automatic,Front,4,Left wheel,Grey,4,False
91,2822,,BMW,520 Vanos,1995,Sedan,True,Petrol,2.0,350000,6.0,Manual,Rear,4,Left wheel,Blue,2,False
92,549,781.0,SUBARU,Forester,2012,Jeep,True,Petrol,2.5,148213,4.0,Automatic,4x4,4,Left wheel,Blue,0,False
93,6981,1095.0,DAEWOO,Lacetti,2008,Sedan,True,Petrol,2.0,103246,4.0,Automatic,Front,4,Left wheel,Black,4,False
94,27284,891.0,HYUNDAI,Elantra,2016,Sedan,False,Petrol,2.0,105394,4.0,Tiptronic,Front,4,Left wheel,Black,12,False
95,32929,,BMW,428 Sport Line,2013,Coupe,True,Petrol,2.0,160000,4.0,Automatic,Rear,2,Left wheel,Black,12,True
96,18817,,NISSAN,Patrol,1990,Jeep,False,Diesel,2.8,333333,4.0,Manual,Rear,4,Left wheel,Black,0,True
97,4234,,HONDA,Civic,1997,Hatchback,True,Petrol,1.4,0,4.0,Manual,Front,2,Left wheel,Blue,6,False
98,15053,,MERCEDES-BENZ,E 320,2004,Sedan,True,Petrol,3.2,214000,6.0,Tiptronic,Rear,4,Left wheel,Grey,8,False
99,15458,966.0,HYUNDAI,Genesis,2009,Coupe,True,Petrol,2.0,123346,4.0,Automatic,Front,4,Left wheel,Black,4,False
100,2901,473.0,CHEVROLET,Cruze,2014,Sedan,True,Petrol,1.4,80827,4.0,Automatic,Front,4,Left wheel,Green,12,False
101,706,1138.0,PORSCHE,911,2013,Coupe,True,Petrol,3.8,64464,6.0,Automatic,Rear,2,Left wheel,Black,12,False
102,314,382.0,FORD,Fusion,2015,Sedan,True,Hybrid,2.0,91760,4.0,Automatic,Front,4,Left wheel,Black,12,False
103,15681,1811.0,LEXUS,GX 460,2010,Jeep,True,Petrol,4.6,275240,8.0,Automatic,4x4,4,Left wheel,Silver,0,False
104,26657,,MERCEDES-BENZ,Sprinter,2004,Microbus,False,Diesel,2.2,300000,4.0,Manual,Rear,4,Left wheel,White,1,True
105,10663,988.0,TOYOTA,Prius,2007,Hatchback,False,Petrol,1.5,318400,4.0,Automatic,Front,4,Left wheel,Silver,6,False
106,12858,765.0,FORD,Focus SE,2015,Sedan,False,Petrol,2.0,91200,4.0,Automatic,Front,4,Left wheel,Sky blue,10,False
107,1019,917.0,BMW,X5,2013,Jeep,True,Diesel,3.0,137802,6.0,Automatic,4x4,4,Left wheel,Black,12,False
108,549,917.0,BMW,535,2013,Sedan,True,Hybrid,3.0,151586,6.0,Automatic,Rear,4,Left wheel,White,12,False
109,12858,,KIA,Picanto,2016,Hatchback,False,Petrol,1.2,107000,4.0,Manual,Front,4,Left wheel,Silver,2,False
110,15000,,BMW,328,2008,Sedan,True,CNG,3.0,210408,6.0,Tiptronic,Rear,4,Left wheel,White,12,False
112,44752,1091.0,HYUNDAI,H1,2016,Universal,True,Diesel,2.5,86000,4.0,Automatic,Front,4,Left wheel,Grey,4,False
113,17158,687.0,HYUNDAI,Elantra,2010,Sedan,True,Petrol,1.6,122740,4.0,Automatic,Front,4,Left wheel,White,4,False
114,12231,,MITSUBISHI,Airtrek,2005,Jeep,False,LPG,2.4,144000,4.0,Tiptronic,4x4,4,Right-hand drive,White,16,False
115,11917,11714.0,MERCEDES-BENZ,E 500 AMG,2003,Sedan,True,Petrol,5.0,150000,12.0,Tiptronic,Rear,4,Right-hand drive,White,12,False
116,1254,,MITSUBISHI,Lancer,1997,Sedan,False,Petrol,1.3,100000,4.0,Manual,Rear,4,Left wheel,Red,0,False
117,94,,HONDA,FIT,2003,Hatchback,False,Petrol,1.5,178000,4.0,Variator,Front,4,Right-hand drive,Silver,4,False
118,25591,640.0,SSANGYONG,Korando,2013,Jeep,True,Diesel,2.0,85704,4.0,Automatic,Front,4,Left wheel,Silver,4,False
119,14897,836.0,HYUNDAI,Santa FE,2010,Jeep,True,Diesel,2.0,58962,4.0,Automatic,Front,4,Left wheel,White,4,False
120,23521,779.0,TOYOTA,Camry,2013,Sedan,True,Hybrid,2.5,90000,4.0,Tiptronic,Front,4,Left wheel,White,12,False
121,3450,,RENAULT,Clio,1995,Hatchback,False,Petrol,1.2,50000,3.0,Manual,Front,2,Left wheel,Green,0,False
122,706,777.0,MAZDA,616,2014,Sedan,True,Petrol,2.5,0,4.0,Automatic,Front,4,Left wheel,Red,12,False
123,1019,1537.0,TOYOTA,Highlander,2009,Sedan,True,Hybrid,3.3,318358,6.0,Automatic,4x4,4,Left wheel,Black,12,False
124,16935,765.0,FORD,Fusion,2015,Sedan,True,Petrol,2.0,71454,4.0,Automatic,Front,4,Left wheel,Black,0,False
125,19444,781.0,TOYOTA,Camry,2012,Sedan,True,Petrol,2.5,0,4.0,Tiptronic,Front,4,Left wheel,Black,6,False
126,11604,639.0,HYUNDAI,Sonata,2014,Sedan,True,LPG,2.0,346470,4.0,Automatic,Front,4,Left wheel,Silver,4,False
128,706,394.0,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,115312,4.0,Automatic,Front,4,Left wheel,Grey,12,False
129,9408,,MERCEDES-BENZ,C 220,1999,Sedan,False,Diesel,2.2,111111,4.0,Manual,Rear,4,Left wheel,Silver,4,True
130,13328,1347.0,HYUNDAI,H1,2008,Minivan,True,Diesel,2.5,74444,4.0,Automatic,Front,4,Left wheel,Yellow,4,False
131,17876,,NISSAN,Serena,2012,Minivan,False,Petrol,2.0,143000,4.0,Tiptronic,Front,4,Right-hand drive,White,12,False
132,549,2866.0,NISSAN,Maxima,2004,Sedan,True,Petrol,3.5,299709,6.0,Automatic,Front,4,Left wheel,Grey,12,False
133,20071,,TOYOTA,RAV 4,2008,Jeep,False,Petrol,2.4,135000,4.0,Automatic,4x4,4,Left wheel,Silver,8,False
134,22894,862.0,HYUNDAI,H1,2011,Minivan,True,Diesel,2.5,124444,4.0,Automatic,Front,4,Left wheel,Yellow,4,False
135,2901,503.0,HONDA,Civic,2012,Sedan,True,Hybrid,1.5,146403,4.0,Automatic,Front,4,Left wheel,White,0,False
136,15681,,MITSUBISHI,Pajero,1997,Jeep,False,Petrol,2.4,142000,4.0,Automatic,4x4,2,Left wheel,Blue,6,False
137,39829,1811.0,LEXUS,GX 460,2010,Jeep,True,Petrol,4.6,155821,8.0,Automatic,4x4,4,Left wheel,Black,0,False
138,706,1646.0,LEXUS,GX 460,2015,Jeep,True,Petrol,4.6,102907,8.0,Automatic,4x4,4,Left wheel,Black,0,False
139,18660,,HYUNDAI,Sonata,2013,Sedan,True,Petrol,2.4,130000,4.0,Tiptronic,Front,4,Left wheel,Black,6,False
140,22580,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,True,Petrol,2.0,50930,4.0,Automatic,Rear,4,Left wheel,Black,12,False
141,11604,639.0,HYUNDAI,Sonata,2014,Sedan,True,LPG,2.0,264872,4.0,Automatic,Front,4,Left wheel,Silver,4,False
142,314,259.0,CHEVROLET,Volt,2014,Hatchback,True,Hybrid,1.4,131893,4.0,Automatic,Front,4,Left wheel,Brown,0,False
143,5488,751.0,GMC,TERRAIN,2013,Jeep,True,Petrol,2.4,138958,4.0,Automatic,Front,4,Left wheel,Black,12,False
145,18817,609.0,TOYOTA,Camry,2018,Sedan,True,Hybrid,2.5,35058,4.0,Automatic,Front,4,Left wheel,White,12,False
146,21169,697.0,HONDA,Hr-v EX,2015,Jeep,False,Petrol,1.8,33330,4.0,Automatic,4x4,4,Left wheel,Grey,8,False
147,9095,,FIAT,500,2011,Coupe,False,Petrol,1.2,141000,4.0,Automatic,Front,2,Right-hand drive,Red,4,False
148,1568,639.0,VOLKSWAGEN,Jetta,2014,Sedan,True,Diesel,2.0,82392,4.0,Automatic,Front,4,Left wheel,Silver,12,False
149,3136,,SUBARU,Legacy,2005,Goods wagon,False,Petrol,2.0,180000,6.0,Tiptronic,4x4,4,Right-hand drive,Blue,6,True
150,17876,585.0,HYUNDAI,Elantra sport limited,2013,Sedan,True,Petrol,1.8,117920,4.0,Tiptronic,Front,4,Left wheel,Grey,12,False
151,11290,891.0,HYUNDAI,Sonata,2016,Sedan,True,LPG,2.0,279787,4.0,Automatic,Front,4,Left wheel,Silver,4,False
152,36065,1399.0,TOYOTA,Sienna,2010,Minivan,True,Petrol,3.5,227200,6.0,Tiptronic,Front,4,Left wheel,White,16,False
153,862,394.0,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,130478,4.0,Automatic,Front,4,Left wheel,White,12,False
154,21395,781.0,HYUNDAI,H1,2012,Universal,True,Diesel,2.5,166144,4.0,Automatic,Front,4,Left wheel,Silver,4,False
155,15681,891.0,HYUNDAI,Sonata,2016,Sedan,True,LPG,2.0,258706,4.0,Automatic,Front,4,Left wheel,Silver,4,False
156,627,475.0,CHEVROLET,Volt,2012,Jeep,True,Hybrid,1.4,188419,4.0,Automatic,Front,4,Left wheel,Red,0,False
157,40070,690.0,TOYOTA,Aqua,2016,Hatchback,True,Petrol,1.5,25807,4.0,Automatic,Front,4,Left wheel,Black,4,False
158,11917,,MERCEDES-BENZ,A 170,2008,Hatchback,False,Petrol,1.7,180000,4.0,Automatic,Front,4,Left wheel,Golden,8,False
160,35927,640.0,SSANGYONG,REXTON,2013,Jeep,True,Diesel,2.0,137267,4.0,Automatic,Front,4,Left wheel,Silver,4,False
161,21012,308.0,TOYOTA,Prius,2014,Sedan,False,Hybrid,1.8,160000,4.0,Automatic,4x4,4,Left wheel,White,4,False
162,21012,1823.0,TOYOTA,Tacoma,2018,Sedan,True,Petrol,3.5,27358,6.0,Automatic,Front,4,Left wheel,Grey,12,False
163,13172,1361.0,KIA,Carnival grand,2009,Minivan,True,Diesel,2.9,84176,4.0,Automatic,Front,4,Left wheel,White,6,False
164,15624,707.0,HYUNDAI,Genesis,2011,Coupe,True,Petrol,2.0,107005,4.0,Automatic,Front,4,Left wheel,Grey,4,False
165,4547,,OPEL,Vectra,1997,Sedan,False,Petrol,1.6,15000,4.0,Manual,Front,4,Left wheel,Beige,2,False
166,5488,1273.0,INFINITI,QX60,2015,Jeep,True,Petrol,3.5,124154,6.0,Automatic,4x4,4,Left wheel,Black,12,False
167,20005,531.0,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,104997,4.0,Automatic,Front,4,Left wheel,White,4,False
168,36110,924.0,VOLKSWAGEN,Passat,2017,Sedan,True,Petrol,1.8,27728,6.0,Tiptronic,Front,4,Left wheel,Silver,8,False
170,470,1077.0,MAZDA,1000,2019,Jeep,True,Petrol,2.0,11566,4.0,Automatic,4x4,4,Left wheel,Black,12,False
171,1300,,AUDI,50,2018,Coupe,True,Petrol,0.5,4000,1.0,Tiptronic,Rear,5,Right-hand drive,Blue,0,False
172,43880,891.0,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,113700,4.0,Automatic,Front,4,Left wheel,Silver,4,False
173,29479,584.0,MERCEDES-BENZ,C 250,2014,Sedan,True,Petrol,1.8,69000,4.0,Tiptronic,Rear,4,Left wheel,Grey,8,True
174,17249,,TOYOTA,Camry,2011,Sedan,True,Hybrid,2.5,152000,4.0,Variator,Front,4,Left wheel,White,12,False
175,9408,,TOYOTA,Vitz funkargo,2003,Universal,False,Petrol,1.5,181926,4.0,Automatic,4x4,4,Right-hand drive,Silver,2,False
176,44213,891.0,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,50255,4.0,Automatic,Front,4,Left wheel,Red,4,False
177,8467,2078.0,BMW,325,2001,Sedan,True,Petrol,2.5,252800,6.0,Manual,Rear,4,Left wheel,Grey,6,False
178,627,915.0,AUDI,A6,2014,Sedan,True,Petrol,3.0,164488,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
179,21950,831.0,FORD,Transit,2011,Goods wagon,False,Diesel,2.4,125000,4.0,Manual,4x4,4,Left wheel,White,2,True
180,706,475.0,FIAT,500,2012,Hatchback,True,Petrol,1.4,164574,4.0,Automatic,Front,4,Left wheel,Red,12,False
181,3136,473.0,CHEVROLET,Cruze,2014,Sedan,True,Petrol,1.4,156992,4.0,Automatic,Front,4,Left wheel,Black,12,False
182,3450,,OPEL,Vectra,1995,Sedan,False,CNG,2.0,0,4.0,Manual,Front,4,Left wheel,White,2,False
183,9408,,MITSUBISHI,Pajero,1998,Jeep,False,Petrol,3.5,11000,6.0,Tiptronic,4x4,4,Right-hand drive,Silver,4,True
184,31500,,NISSAN,Pathfinder,2010,Jeep,True,LPG,4.0,90200,6.0,Tiptronic,4x4,4,Left wheel,Black,12,False
185,20385,,MITSUBISHI,Delica,2005,Minivan,True,Petrol,3.0,184000,6.0,Automatic,4x4,4,Right-hand drive,White,12,False
186,314,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,True,Diesel,3.5,149486,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
187,2300,,VOLKSWAGEN,Golf,1996,Sedan,False,CNG,2.0,0,4.0,Manual,Front,4,Left wheel,Green,0,False
188,7840,,MERCEDES-BENZ,Vaneo,2004,Universal,False,LPG,1.9,170000,4.0,Tiptronic,Front,4,Left wheel,Silver,4,False
190,1490,639.0,VOLKSWAGEN,Jetta,2014,Universal,True,Diesel,2.0,113214,4.0,Automatic,Front,4,Left wheel,Grey,12,False
192,314,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,True,Diesel,3.5,149486,6.0,Automatic,4x4,4,Left wheel,Silver,12,False
193,13172,,HONDA,Cr-v,2002,Jeep,False,Petrol,2.4,260000,4.0,Automatic,4x4,4,Left wheel,Silver,6,False
194,19757,,NISSAN,Patrol Y60,1990,Jeep,False,Diesel,2.8,222222,4.0,Manual,Rear,4,Left wheel,Black,0,True
195,4704,917.0,AUDI,A7,2013,Hatchback,True,Petrol,3.0,301707,6.0,Automatic,4x4,4,Left wheel,Grey,0,False
196,706,751.0,HYUNDAI,Sonata,2013,Sedan,True,Petrol,2.4,175827,4.0,Automatic,Front,4,Left wheel,Black,12,False
197,5802,1055.0,MERCEDES-BENZ,E 350,2013,Sedan,True,Diesel,3.5,107800,6.0,Automatic,Rear,4,Left wheel,Grey,12,False
198,25716,777.0,TOYOTA,Camry,2014,Sedan,False,Petrol,2.5,115200,4.0,Automatic,Front,4,Left wheel,Silver,8,False
199,14426,642.0,CHEVROLET,Orlando,2012,Jeep,True,LPG,2.0,132036,4.0,Automatic,Front,4,Left wheel,White,4,False
200,10820,,TOYOTA,RAV 4,2001,Jeep,False,Petrol,2.0,91000,4.0,Automatic,4x4,2,Right-hand drive,Silver,4,False
201,45436,1172.0,FORD,Explorer,2011,Jeep,True,Petrol,3.5,129177,4.0,Automatic,Front,4,Left wheel,White,4,False
202,11917,893.0,HYUNDAI,I30,2008,Hatchback,False,Diesel,1.6,201000,4.0,Manual,Front,4,Left wheel,Black,8,False
203,41281,765.0,HYUNDAI,Santa FE,2015,Jeep,True,Diesel,2.0,185811,4.0,Automatic,Front,4,Left wheel,Black,4,False
204,4391,,NISSAN,Altima,1998,Sedan,False,Petrol,2.4,358400,4.0,Manual,Front,4,Left wheel,Brown,2,False
205,3058,1872.0,PORSCHE,Cayenne,2018,Sedan,True,Petrol,3.6,28968,6.0,Automatic,4x4,4,Left wheel,White,12,False
206,3700,,ALFA ROMEO,147,2001,Coupe,True,Petrol,1.8,240000,4.0,Manual,Front,2,Left wheel,Black,4,False
207,15681,,SUZUKI,Grand Vitara,2008,Jeep,False,Petrol,1.6,98000,4.0,Automatic,4x4,2,Left wheel,Black,12,False
208,6586,645.0,LEXUS,CT 200h,2011,Hatchback,True,Hybrid,1.8,122302,4.0,Automatic,Front,4,Left wheel,Black,0,False
209,12544,,TOYOTA,Prius,2007,Hatchback,False,Hybrid,1.5,140000,4.0,Automatic,Front,4,Left wheel,Beige,6,False
210,30063,639.0,HYUNDAI,Tucson,2014,Jeep,True,Diesel,2.0,120000,4.0,Automatic,Front,4,Left wheel,White,4,False
212,21639,,HYUNDAI,Veloster,2015,Hatchback,False,Petrol,1.6,17200,4.0,Tiptronic,Front,2,Left wheel,Red,10,False
213,36692,,TOYOTA,RAV 4 XLE Sport,2013,Jeep,False,Petrol,2.5,120000,4.0,Tiptronic,Front,4,Left wheel,White,0,False
